,Розничный Прайс-лист от 04/05/2006,,
,82,Ресницы Лавли Серия Deluxe C+ 0.07 8mm,"125,000"
,83,Ресницы Лавли Серия Deluxe C+ 0.07 9mm,"125,000"
,84,Ресницы Лавли Серия Deluxe C+ 0.10 10mm,"125,000"
,85,Ресницы Лавли Серия Deluxe C+ 0.10 12mm,"125,000"
,86,Ресницы Лавли Серия Deluxe C+ 0.10 13mm,"125,000"
,87,Ресницы Лавли Серия Deluxe C+ 0.10 14mm,"125,000"
,88,Ресницы Лавли Серия Deluxe C+ 0.10 15mm,"125,000"
,89,Ресницы Лавли Серия Deluxe C+ 0.10 16mm,"125,000"
,90,Ресницы Лавли Серия Deluxe C+ 0.10 8mm,"125,000"
,91,Ресницы Лавли Серия Deluxe C+ 0.10 9mm,"125,000"
,92,Ресницы Лавли Серия Deluxe CC 0.07 10mm,"125,000"
,93,Ресницы Лавли Серия Deluxe CC 0.07 11mm,"125,000"
,94,Ресницы Лавли Серия Deluxe CC 0.07 12mm,"125,000"
,95,Ресницы Лавли Серия Deluxe CC 0.07 13mm,"125,000"
,96,Ресницы Лавли Серия Deluxe CC 0.07 14mm,"125,000"
,97,Ресницы Лавли Серия Deluxe CC 0.07 15mm,"125,000"
,98,Ресницы Лавли Серия Deluxe CC 0.07 16mm,"125,000"
,99,Ресницы Лавли Серия Deluxe CC 0.07 8mm,"125,000"
,100,Ресницы Лавли Серия Deluxe CC 0.07*9mm,"125,000"
,101,Ресницы Лавли серия Deluxe CC 0.085*12mm,"125,000"
,102,Ресницы Лавли серия Deluxe CC 0.085*13mm,"125,000"
,103,Ресницы Лавли серия Deluxe CC 0.085*14mm,"125,000"
,104,Ресницы Лавли серия Deluxe CC 0.085*15mm,"125,000"
,105,Ресницы Лавли Серия Deluxe CC 0.10 10mm,"125,000"
,106,Ресницы Лавли Серия Deluxe CC 0.10 11mm,"125,000"
,107,Ресницы Лавли Серия Deluxe CC 0.10 12mm,"125,000"
,108,Ресницы Лавли Серия Deluxe CC 0.10 13mm,"125,000"
,109,Ресницы Лавли Серия Deluxe CC 0.10 14mm,"125,000"
,110,Ресницы Лавли Серия Deluxe D 0.07 10mm,"125,000"
,111,Ресницы Лавли Серия Deluxe D 0.07 11mm,"125,000"
,112,Ресницы Лавли Серия Deluxe D 0.07 12mm,"125,000"
,113,Ресницы Лавли Серия Deluxe D 0.07 13mm,"125,000"
,114,Ресницы Лавли Серия Deluxe D 0.07 14mm,"125,000"
,115,Ресницы Лавли Серия Deluxe D 0.07 15mm,"125,000"
,116,Ресницы Лавли Серия Deluxe D 0.07 16mm,"125,000"
,117,Ресницы Лавли Серия Deluxe D 0.07 7mm,"125,000"
,118,Ресницы Лавли Серия Deluxe D 0.07 8mm,"125,000"
,119,Ресницы Лавли Серия Deluxe D 0.07 9mm,"125,000"
,120,Ресницы Лавли Серия Deluxe D 0.085 11mm,"125,000"
,121,Ресницы Лавли Серия Deluxe D 0.085 13mm,"125,000"
,122,Ресницы Лавли Серия Deluxe D 0.085 15mm,"125,000"
,123,Ресницы Лавли серия Deluxe D 0.085*10mm,"125,000"
,124,Ресницы Лавли серия Deluxe D 0.085*12mm,"125,000"
,125,Ресницы Лавли серия Deluxe D 0.085*14mm,"125,000"
,126,Ресницы Лавли серия Deluxe D 0.085*16mm,"125,000"
,127,Ресницы Лавли серия Deluxe D 0.085*7mm,"125,000"
,128,Ресницы Лавли серия Deluxe D 0.085*8mm,"125,000"
,129,Ресницы Лавли серия Deluxe D 0.085*9mm,"125,000"
,130,Ресницы Лавли Серия Deluxe D 0.10 10mm,"125,000"
,131,Ресницы Лавли Серия Deluxe D 0.10 11mm,"125,000"
,132,Ресницы Лавли Серия Deluxe D 0.10 12mm,"125,000"
,133,Ресницы Лавли Серия Deluxe D 0.10 13mm,"125,000"
,134,Ресницы Лавли Серия Deluxe D 0.10 14mm,"125,000"
,135,Ресницы Лавли Серия Deluxe D 0.10 15mm,"125,000"
,136,Ресницы Лавли Серия Deluxe D 0.10 16mm,"125,000"
,137,Ресницы Лавли Серия Deluxe D 0.10 7mm,"125,000"
,138,Ресницы Лавли Серия Deluxe D 0.10 8mm,"125,000"
,139,Ресницы Лавли Серия Deluxe D 0.10 9mm,"125,000"
,140,Ресницы Лавли Серия Silicon C+ 0.12 10mm,"100,000"
,141,Ресницы Лавли Серия Silicon C+ 0.12 12mm,"100,000"
,142,Ресницы Лавли Серия Silicon C+ 0.12 14mm,"100,000"
,143,Ресницы Лавли Серия Silicon C+ 0.12 15mm,"100,000"
,144,Ресницы Лавли Серия Silicon C+ 0.12 8mm,"100,000"
,145,Ресницы Лавли Серия Silicon C+ 0.12 9mm,"100,000"
,146,Ресницы Лавли Серия Silicon C+ 0.15 11mm,"100,000"
,147,Ресницы Лавли Серия Silicon C+ 0.15 12mm,"100,000"
,148,Ресницы Лавли Серия Silicon C+ 0.15 13mm,"100,000"
,149,Ресницы Лавли Серия Silicon C+ 0.15 14mm,"100,000"
,150,Ресницы Лавли Серия Silicon C+ 0.15 15mm,"100,000"
,151,Ресницы Лавли Серия Silicon C+ 0.15 8mm,"100,000"
,152,Ресницы Лавли Серия Silicon C+ 0.15 9mm,"100,000"
,153,Нечаева Разбавитель #601 (15ml),"65,000"
,154,Нечаева Разбавитель для минералов #602 (15мл),"65,000"
,155,Клей RILI EXPERT 3мл,"65,000"
,156,Клей RILI MASTER 3мл,"65,000"
,157,Клей RILI PROFI 3мл,"65,000"
,158,Лед Клей Rili Solar Black 3 мл,"80,000"
,159, Лед Клей Rili Solar Blue 3 мл,"80,000"
,160,Лед Клей Rili Solar Blue 5 мл,"115,000"
,161,Лед Клей Rili Solar Violet 3 мл,"80,000"
,162,Elan Окислитель 3%  30мл,"135,000"
,163,(14331)Ламинация Ellami  # 3 (2мл),"100,000"
,164,(14136)Ламинация Ellami  #1 Lifting balm (2мл)  ,"100,000"
,165,(14137)Ламинация Ellami  #2 Volumising fix (2мл) ,"100,000"
,166,(14132)Ботокс Ellami  Botox 2мл ,"110,000"
,167,Ресницы Монро L 0.07*10,"115,000"
,168,Ресницы Монро L 0.07*11,"115,000"
,169,Ресницы Монро L 0.07*12,"115,000"
,170,Ресницы Монро L 0.07*13,"115,000"
,171,Ресницы Монро L 0.07*14,"115,000"
,172,Ресницы Монро L 0.07*15,"115,000"
,173,Ресницы Монро L 0.07*7,"115,000"
,174,Ресницы Монро L 0.07*8,"115,000"
,175,Ресницы Монро L 0.07*9,"115,000"
,176,Ресницы Монро L 0.10*10,"115,000"
,177,Ресницы Монро L 0.10*11,"115,000"
,178,Ресницы Монро L 0.10*12,"115,000"
,179,Ресницы Монро L 0.10*13,"115,000"
,180,Ресницы Монро L 0.10*14,"115,000"
,181,Ресницы Монро L 0.10*15,"115,000"
,182,Ресницы Монро L 0.10*7,"115,000"
,183,Ресницы Монро L 0.10*8,"115,000"
,184,Ресницы Монро L 0.10*9,"115,000"
,185,Пигмент Пигмент Нечаева NE (нечаева) #206 Пепельная роза (7мл),"245,000"
,186,Пигмент Нечаева NE (нечаева) MINERAL #907 Блондля светлый (15мл),"335,000"
,187,Ламинация WEEWY #1 Lifting balm (2мл),"80,000"
,188,Ламинация WEEWY #2 Volumising fix (2мл),"80,000"
,189,Ламинация WEEWY Botox 2мл,"99,000"
,190,Клей Лавли Carolina 3мл,"100,000"
,191,Клей Лавли Safety 5мл,"155,000"
,192,концентрат для бровей и ресниц Amica  Ceramide Concentrate Pro 10ml,"365,000"
,193,концентрат для бровей и ресниц Amica  Ceramide Concentrate Pro 2ml,"72,000"
,194,концентрат для бровей и ресниц Amica  concentrate Home series 15ml,"310,000"
,195,концентрат для бровей и ресниц Amica  concentrate Home series 2ml,"55,000"
,196,концентрат для бровей и ресниц Amica  Serum COUTURE 10ml,"225,000"
,197,Клей Beauty Eyes M 5ml,"279,000"
,198, BIOCOLORS Разбавитель 15мл,"80,000"
,199, BIOCOLORS ремувер  Remake 5мл,"395,000"
,200, BRONSUN Набор BROW PERM professional set,"345,000"
,201, BRONSUN Набор для домашнего окрашивания #1 Deep black,"80,000"
,202, BRONSUN Набор для домашнего окрашивания #2 графит,"80,000"
,203, BRONSUN Набор для домашнего окрашивания #5 Light brown,"80,000"
,204, BRONSUN Набор для домашнего окрашивания #6 Brown,"70,000"
,205, BRONSUN Набор для домашнего окрашивания #7 Dark brown,"80,000"
,206, BRONSUN домашнего окрашивания BROW PERM  ,"155,000"
,207, BRONSUN Состав для ламинирования #1 BROW LIFT 10ml,"130,000"
,208, BRONSUN Состав для ламинирования #2 BROW SCULPT 10ml,"130,000"
,209, BRONSUN Состав для ламинирования #3 BROW ESSENCE 10ml,"130,000"
,210,"Бронсан Гель краска #1 черная, 15ml","70,000"
,211,"Бронсан Гель краска #2 графит,15ml","70,000"
,212,"Бронсан Гель краска #3 иссиня черный, 15ml","70,000"
,213,"Бронсан Гель краска #4 каштан, 15ml","70,000"
,214,"Бронсан Гель краска #4.1 медный каштан,15мл","70,000"
,215,"Бронсан Гель краска #5 светло-коричневый, 15ml","70,000"
,216,"Бронсан Гель краска #6 коричневый, 15ml","70,000"
,217,"Бронсан Гель краска #7 темно-коричневый, 15ml","70,000"
,218,Бронсан Кондиционер для бровей 50мл,"44,000"
,219,Бронсан Лосьон-фиксатор цвета для бровей 50мл,"55,000"
,220,Бронсан Миксер для хны и краски,"115,000"
,221,Бронсан Праймер-обезжириватель для бровей 50мл,"55,000"
,222,Бронсан Раствор солев для обезжиривания ресниц и бровей 50мл,"60,000"
,223,Бронсан Шампунь для бровей 50мл,"44,000"
,224, BRONSUN Набор гель-красок NE (нечаева)W  ,"615,000"
,225,Бронсан Воск для депиляции бровей 50 г,"50,000"
,226,Бронсан Кондиционер для бровей PATCHOULY& AMBER,"65,000"
,227,Бронсан Крем защитный для бровей 10г,"45,000"
,228,Бронсан Лосьон Охлаждающийающий для депиляции бровей 50 мл,"55,000"
,229,Бронсан Лосьон очищающий до депиляции бровей 50 мл,"50,000"
,230,Бронсан Лосьон после депиляции бровей 50 мл,"55,000"
,231,Бронсан Лосьон-фиксатор цвета LEATHER 50мл,"75,000"
,232,Бронсан Масло при депиляции бровей 50 мл,"55,000"
,233,Бронсан Мусс-пенка ROSE & SANDAL 100мл,"70,000"
,234,Бронсан Набор для депиляции бровей с мини-воскоплавом,"215,000"
,235,Бронсан Набор для осветления бровей,"115,000"
,236,"Бронсан Оксид молочко 1,8% 30мл","49,000"
,237,Бронсан Оксид молочко 3% 30мл,"45,000"
,238,Бронсан Паста для бровей белая 10гр,"60,000"
,239,Бронсан Праймер-обезжиривательир MUSC & VANILA 50 мл,"65,000"
,240,Бронсан Пммра для осветления бровей,"99,000"
,241,Бронсан Раствор солев для обезжиривания 50мл NE (нечаева)W,"65,000"
,242,Бронсан Ремувер для удаления краски 30мл,"55,000"
,243,Бронсан Скраб кофейный для бровей 10gr,"50,000"
,244,Бронсан Шампунь для бровей PATCHOULY& AMBER,"65,000"
,245, Броу Хенна Аппликаторы для депиляции   100шт,"60,000"
,246, Броу Хенна Воск для депиляции 60гр,"60,000"
,247, Броу Хенна Лосьон перед депиляцией №1 100мл,"80,000"
,248, Броу Хенна Масло перед депиляцией №2 100мл,"110,000"
,249, Броу Хенна Масло после депиляции №3 100мл,"119,000"
,250, Броу Хенна Набор для депиляции 940гр,"599,000"
,251, Броу Хенна Растворитель воска №4 100мл,"115,000"
,252," Броу Хенна Тальк косметич. для чувствит.кожи, 50гр","35,000"
,253, Броу Хенна 2х фазн тоник для снятияхны 50ml,"65,000"
,254, Броу Хенна Botex-X 10мл,"145,000"
,255, Броу Хенна Botex-X В ТУБЕ 10мл,"85,000"
,256, Броу Хенна белаяая маска для бровей с кокосовым маслом,"109,000"
,257," Броу Хенна Концентрат Botex-X с церамидами, 5г","165,000"
,258, Броу Хенна крем набор для осветления волос Perfect Bleach,"145,000"
,259, Броу Хенна Линейка-трафарет для бровей,"35,000"
,260, Броу Хенна масло для роста ресниц и бровей 10ml,"95,000"
,261, Броу Хенна мин раствор 50ml,"55,000"
,262, Броу Хенна Набор Средство осветления волос Perfect Bleach,"148,000"
,263, Броу Хенна Нить для трид Brow xenna,"60,000"
,264, Броу Хенна Ножницы серебро,"90,000"
,265, Броу Хенна Палитра цветов,"175,000"
,266, Броу Хенна Паста контур белая 10гр,"109,000"
,267, Броу Хенна Паста контур белая 3гр,"60,000"
,268, Броу Хенна Пинцет заостр Pro-Brow Black,"130,000"
,269, Броу Хенна Пинцет скошенная  Pro-Brow Black,"130,000"
,270," Броу Хенна Ремувер цвета для ммаленькийения хны и краски, 15мл","69,000"
,271, Броу Хенна Скраб для бровей 50гр,"75,000"
,272," Броу Хенна Солевой скраб глубокого действия, 30г","145,000"
,273, Броу Хенна Спрей для очистки кистей   150мл,"50,000"
,274, Броу Хенна Средство осветления волос Perfect Bleach Pink/шт,"90,000"
,275, Броу Хенна Средство осветления волос Perfect Bleach/шт,"105,000"
,276, Броу Хенна Стаканчик квадратный,"65,000"
,277, Броу Хенна шампунь-пена 100мл,"105,000"
,278, Броу Хенна Энзимный скраб 50гр,"75,000"
,279,"  Броу Хенна Тинт для бровей гелевый Lume 01-Graphite,15ml","120,000"
,280,"  Броу Хенна Тинт для бровей гелевый Lume 02-Dark Brown,15ml","120,000"
,281,"  Броу Хенна Тинт для бровей гелевый Lume 03-Copper,15ml","120,000"
,282,"  Броу Хенна Тинт для бровей гелевый Lume 04-Taupe Brown,15ml","120,000"
,283, Броу Хенна Гиалуроновая база для разведения хны 50мл,"50,000"
,284, Броу Хенна Зеленая маска для бровей,"130,000"
,285, Броу Хенна Карандаш для бровей Ash Brown #3,"70,000"
,286, Броу Хенна Карандаш для бровей Dark Brown#2,"70,000"
,287, Броу Хенна Карандаш для бровей Ebony #1,"70,000"
,288, Броу Хенна Набор пигментов прямого действия,"370,000"
,289, Броу Хенна пигмент прямого действия Красный,"70,000"
,290, Броу Хенна пигмент прямого действия Розовый,"70,000"
,291, Броу Хенна пигмент прямого действия Синий,"70,000"
,292, Броу Хенна пигмент прямого действия Фиолет,"70,000"
,293, Lena Levi Очищающее средство перед окрашиванием 3 в 1  50мл,"55,000"
,294, Lena Levi Ухаживающее средство 7 в 1. 50мл,"95,000"
,295, Броу Хенна Воск-стик для укладки и ухода за бровями Brow Sculpt Stick Wax,"110,000"
,296, Броу ХеннаГель для сверхсильной Фиксации 8мл,"125,000"
,297," Масло семян усьмы BrowXenna?, 5 мл","46,000"
,298,"Пигмент CONTUR Pro ""Cветлый шатен"" 10мл","435,000"
,299,"Пигмент CONTUR Pro ""Блонд"" 10мл","435,000"
,300,"Пигмент CONTUR Pro ""Брюнет"" 10мл","435,000"
,301,"Пигмент CONTUR Pro ""Темный блонд"" 10мл","435,000"
,302,"Пигмент CONTUR Pro ""Шатен"" 10мл","435,000"
,303,"Пигмент CONTUR Pro корректор ""Золото"" 10мл","435,000"
,304,"Пигмент CONTUR Pro корректор ""Медь"" 10мл","435,000"
,305, Ресницы Лавли темный шоколад B 0.10*7-12 ,"140,000"
,306, Ресницы Лавли темный шоколад C 0.07*10 ,"135,000"
,307, Ресницы Лавли темный шоколад C 0.07*11 ,"135,000"
,308, Ресницы Лавли темный шоколад C 0.07*12 ,"135,000"
,309, Ресницы Лавли темный шоколад C 0.07*13 ,"135,000"
,310, Ресницы Лавли темный шоколад C 0.07*14 ,"135,000"
,311, Ресницы Лавли темный шоколад C 0.07*15 ,"135,000"
,312, Ресницы Лавли темный шоколад C 0.07*5 ,"135,000"
,313, Ресницы Лавли темный шоколад C 0.07*6 ,"135,000"
,314, Ресницы Лавли темный шоколад C 0.07*7 ,"135,000"
,315, Ресницы Лавли темный шоколад C 0.07*8 ,"135,000"
,316, Ресницы Лавли темный шоколад C 0.07*9 ,"135,000"
,317, Ресницы Лавли темный шоколад C 0.10*10 ,"135,000"
,318, Ресницы Лавли темный шоколад C 0.10*11 ,"135,000"
,319, Ресницы Лавли темный шоколад C 0.10*12 ,"135,000"
,320, Ресницы Лавли темный шоколад C 0.10*13 ,"135,000"
,321, Ресницы Лавли темный шоколад C 0.10*14 ,"135,000"
,322, Ресницы Лавли темный шоколад C 0.10*15 ,"135,000"
,323, Ресницы Лавли темный шоколад C 0.10*5 ,"135,000"
,324, Ресницы Лавли темный шоколад C 0.10*7 ,"135,000"
,325, Ресницы Лавли темный шоколад C 0.10*8 ,"135,000"
,326, Ресницы Лавли темный шоколад C 0.10*9 ,"135,000"
,327, Ресницы Лавли темный шоколад C+ 0.07*10 ,"135,000"
,328, Ресницы Лавли темный шоколад C+ 0.07*11 ,"135,000"
,329, Ресницы Лавли темный шоколад C+ 0.07*12 ,"135,000"
,330, Ресницы Лавли темный шоколад C+ 0.07*13 ,"135,000"
,331, Ресницы Лавли темный шоколад C+ 0.07*14 ,"135,000"
,332, Ресницы Лавли темный шоколад C+ 0.07*15 ,"135,000"
,333, Ресницы Лавли темный шоколад C+ 0.07*8 ,"135,000"
,334, Ресницы Лавли темный шоколад C+ 0.07*9 ,"135,000"
,335, Ресницы Лавли темный шоколад C+ 0.10*10 ,"135,000"
,336, Ресницы Лавли темный шоколад C+ 0.10*11 ,"135,000"
,337, Ресницы Лавли темный шоколад C+ 0.10*12 ,"135,000"
,338, Ресницы Лавли темный шоколад C+ 0.10*13 ,"135,000"
,339, Ресницы Лавли темный шоколад C+ 0.10*14 ,"135,000"
,340, Ресницы Лавли темный шоколад C+ 0.10*15 ,"135,000"
,341, Ресницы Лавли темный шоколад C+ 0.10*8 ,"135,000"
,342, Ресницы Лавли темный шоколад C+ 0.10*9 ,"135,000"
,343, Ресницы Лавли темный шоколад D 0.07*10 ,"135,000"
,344, Ресницы Лавли темный шоколад D 0.07*11 ,"135,000"
,345, Ресницы Лавли темный шоколад D 0.07*12 ,"135,000"
,346, Ресницы Лавли темный шоколад D 0.07*13 ,"135,000"
,347, Ресницы Лавли темный шоколад D 0.07*14 ,"135,000"
,348, Ресницы Лавли темный шоколад D 0.07*15 ,"135,000"
,349, Ресницы Лавли темный шоколад D 0.07*7 ,"135,000"
,350, Ресницы Лавли темный шоколад D 0.07*8 ,"135,000"
,351, Ресницы Лавли темный шоколад D 0.07*9 ,"135,000"
,352, Ресницы Лавли темный шоколад D 0.10*10 ,"135,000"
,353, Ресницы Лавли темный шоколад D 0.10*11 ,"135,000"
,354, Ресницы Лавли темный шоколад D 0.10*12 ,"135,000"
,355, Ресницы Лавли темный шоколад D 0.10*13 ,"135,000"
,356, Ресницы Лавли темный шоколад D 0.10*14 ,"135,000"
,357, Ресницы Лавли темный шоколад D 0.10*15 ,"135,000"
,358, Ресницы Лавли темный шоколад D 0.10*7 ,"135,000"
,359, Ресницы Лавли темный шоколад D 0.10*8 ,"135,000"
,360, Ресницы Лавли темный шоколад D 0.10*9 ,"135,000"
,361, Ресницы Лавли темный шоколад L 0.07*10mm  ,"145,000"
,362, Ресницы Лавли темный шоколад L 0.07*11mm  ,"145,000"
,363, Ресницы Лавли темный шоколад L 0.07*12mm  ,"145,000"
,364, Ресницы Лавли темный шоколад L 0.07*13mm  ,"145,000"
,365, Ресницы Лавли темный шоколад L 0.07*6mm  ,"145,000"
,366, Ресницы Лавли темный шоколад L 0.07*7-12 ,"154,000"
,367, Ресницы Лавли темный шоколад L 0.07*7mm  ,"145,000"
,368, Ресницы Лавли темный шоколад L 0.07*8-15 ,"154,000"
,369, Ресницы Лавли темный шоколад L 0.07*8mm  ,"145,000"
,370, Ресницы Лавли темный шоколад L 0.07*9mm  ,"145,000"
,371, Ресницы Лавли темный шоколад L 0.10*10mm  ,"145,000"
,372, Ресницы Лавли темный шоколад L 0.10*11mm  ,"145,000"
,373, Ресницы Лавли темный шоколад L 0.10*12mm  ,"145,000"
,374, Ресницы Лавли темный шоколад L 0.10*13mm  ,"145,000"
,375, Ресницы Лавли темный шоколад L 0.10*14mm  ,"145,000"
,376, Ресницы Лавли темный шоколад L 0.10*15mm  ,"145,000"
,377, Ресницы Лавли темный шоколад L 0.10*6mm  ,"145,000"
,378, Ресницы Лавли темный шоколад L 0.10*7-12 ,"154,000"
,379, Ресницы Лавли темный шоколад L 0.10*7mm  ,"145,000"
,380, Ресницы Лавли темный шоколад L 0.10*8-15 ,"154,000"
,381, Ресницы Лавли темный шоколад L 0.10*8mm  ,"145,000"
,382, Ресницы Лавли темный шоколад L 0.10*9mm  ,"145,000"
,383, Ресницы Лавли темный шоколад L+0.07*8-15mm  ,"185,000"
,384, Ресницы Лавли темный шоколад M 0.07*7-12 ,"185,000"
,385, Ресницы Лавли темный шоколад M 0.07*8-15 ,"185,000"
,386, Ресницы Лавли темный шоколад M 0.10*7-12 ,"185,000"
,387, Ресницы Лавли темный шоколад M 0.10*8-15 ,"185,000"
,388, Ресницы Лавли темный шоколад MIX C 0.07*7-12 ,"140,000"
,389, Ресницы Лавли темный шоколад MIX C 0.07*8-15 ,"140,000"
,390, Ресницы Лавли темный шоколад MIX C 0.10*7-12 ,"140,000"
,391, Ресницы Лавли темный шоколад MIX C 0.10*8-15 ,"140,000"
,392, Ресницы Лавли темный шоколад MIX C 0.12*7-12  ,"140,000"
,393, Ресницы Лавли темный шоколад MIX C+ 0.07*7-12 ,"140,000"
,394, Ресницы Лавли темный шоколад MIX C+ 0.07*8-15 ,"140,000"
,395, Ресницы Лавли темный шоколад MIX C+ 0.10*7-12 ,"140,000"
,396, Ресницы Лавли темный шоколад MIX C+ 0.10*8-15 ,"140,000"
,397, Ресницы Лавли темный шоколад MIX D 0.05*7-12 ,"168,000"
,398, Ресницы Лавли темный шоколад MIX D 0.07*7-12 ,"140,000"
,399, Ресницы Лавли темный шоколад MIX D 0.07*8-15 ,"140,000"
,400, Ресницы Лавли темный шоколад MIX D 0.10*7-12  ,"140,000"
,401, Ресницы Лавли темный шоколад MIX D 0.10*8-15 ,"140,000"
,402," Ресницы Лавли темно-коричневый C 0,07 10mm ","135,000"
